Эстафета 4×50 м вольный стиль | M100-119 | 25 м | 1:32:64 
Эстафета 4×50 м вольный стиль | M120-159 | 25 м | 1:32:03 
Эстафета 4×50 м вольный стиль | M160-199 | 25 м | 1:35:16 
Эстафета 4×50 м вольный стиль | M200-239 | 25 м | 1:40:18 
Эстафета 4×50 м вольный стиль | M240-279 | 25 м | 1:47:01 
Эстафета 4×50 м вольный стиль | M280-319 | 25 м | 1:59:46 
Эстафета 4×50 м вольный стиль | M320-359 | 25 м | 2:28:19 
Эстафета 4×50 м вольный стиль | M360-399 | 25 м | 5:17:61 
Эстафета 4×50 м вольный стиль | F100-119 | 25 м | 1:49:80 
Эстафета 4×50 м вольный стиль | F120-159 | 25 м | 1:49:39 
Эстафета 4×50 м вольный стиль | F160-199 | 25 м | 1:50:69 
Эстафета 4×50 м вольный стиль | F200-239 | 25 м | 1:57:66 
Эстафета 4×50 м вольный стиль | F240-279 | 25 м | 2:06:05 
Эстафета 4×50 м вольный стиль | F280-319 | 25 м | 2:30:56 
Эстафета 4×50 м вольный стиль | F320-359 | 25 м | 3:06:57 
Эстафета 4×50 м вольный стиль | F360-399 | 25 м | 5:11:70 
Эстафета 4×50 м вольный стиль | M100-119 | 25 м | 1:40:70 
Эстафета 4×50 м вольный стиль | M120-159 | 25 м | 1:39:10 
Эстафета 4×50 м вольный стиль | M160-199 | 25 м | 1:42:42 
Эстафета 4×50 м вольный стиль | M200-239 | 25 м | 1:48:14 
Эстафета 4×50 м вольный стиль | M240-279 | 25 м | 1:55:63 
Эстафета 4×50 м вольный стиль | M280-319 | 25 м | 2:10:90 
Эстафета 4×50 м вольный стиль | M320-359 | 25 м | 2:42:05 
Эстафета 4×50 м вольный стиль | M360-399 | 25 м | 4:21:45 
Эстафета 4×50 м комбинированная | M100-119 | 25 м | 1:42:49 
Эстафета 4×50 м комбинированная | M120-159 | 25 м | 1:39:71 
Эстафета 4×50 м комбинированная | M160-199 | 25 м | 1:45:05 
Эстафета 4×50 м комбинированная | M200-239 | 25 м | 1:51:40 
Эстафета 4×50 м комбинированная | M240-279 | 25 м | 1:59:85 
Эстафета 4×50 м комбинированная | M280-319 | 25 м | 2:15:69 
Эстафета 4×50 м комбинированная | M320-359 | 25 м | 2:53:64 
Эстафета 4×50 м комбинированная | M360-399 | 25 м | 5:18:32 
Эстафета 4×50 м комбинированная | F100-119 | 25 м | 2:00:56 
Эстафета 4×50 м комбинированная | F120-159 | 25 м | 2:01:95 
Эстафета 4×50 м комбинированная | F160-199 | 25 м | 2:04:07 
Эстафета 4×50 м комбинированная | F200-239 | 25 м | 2:12:60 
Эстафета 4×50 м комбинированная | F240-279 | 25 м | 2:23:77 
Эстафета 4×50 м комбинированная | F280-319 | 25 м | 2:52:02 
Эстафета 4×50 м комбинированная | F320-359 | 25 м | 3:42:57 
Эстафета 4×50 м комбинированная | F360-399 | 25 м | 5:41:74 
Эстафета 4×50 м комбинированная | M100-119 | 25 м | 1:49:78 
Эстафета 4×50 м комбинированная | M120-159 | 25 м | 1:49:02 
Эстафета 4×50 м комбинированная | M160-199 | 25 м | 1:52:93 
Эстафета 4×50 м комбинированная | M200-239 | 25 м | 1:58:96 
Эстафета 4×50 м комбинированная | M240-279 | 25 м | 2:10:33 
Эстафета 4×50 м комбинированная | M280-319 | 25 м | 2:29:38 
Эстафета 4×50 м комбинированная | M320-359 | 25 м | 3:10:83 
Эстафета 4×50 м комбинированная | M360-399 | 25 м | 5:54:25 
Эстафета 4×100 м вольный стиль | M100-119 | 25 м | 3:28:27 
Эстафета 4×100 м вольный стиль | M120-159 | 25 м | 3:28:16 
Эстафета 4×100 м вольный стиль | M160-199 | 25 м | 3:34:72 
Эстафета 4×100 м вольный стиль | M200-239 | 25 м | 3:48:11 
Эстафета 4×100 м вольный стиль | M240-279 | 25 м | 4:07:86 
Эстафета 4×100 м вольный стиль | M280-319 | 25 м | 4:42:84 
Эстафета 4×100 м вольный стиль | M320-359 | 25 м | 6:05:75 
Эстафета 4×100 м вольный стиль | M360-399 | 25 м | 9:52:10 
Эстафета 4×100 м вольный стиль | F100-119 | 25 м | 4:08:70 
Эстафета 4×100 м вольный стиль | F120-159 | 25 м | 4:03:39 
Эстафета 4×100 м вольный стиль | F160-199 | 25 м | 4:11:21 
Эстафета 4×100 м вольный стиль | F200-239 | 25 м | 4:22:66 
Эстафета 4×100 м вольный стиль | F240-279 | 25 м | 4:51:37 
Эстафета 4×100 м вольный стиль | F280-319 | 25 м | 5:40:53 
Эстафета 4×100 м вольный стиль | F320-359 | 25 м | 8:26:91 
Эстафета 4×100 м вольный стиль | M100-119 | 25 м | 3:44:36 
Эстафета 4×100 м вольный стиль | M120-159 | 25 м | 3:47:98 
Эстафета 4×100 м вольный стиль | M160-199 | 25 м | 3:53:29 
Эстафета 4×100 м вольный стиль | M200-239 | 25 м | 4:04:13 
Эстафета 4×100 м вольный стиль | M240-279 | 25 м | 4:19:63 
Эстафета 4×100 м вольный стиль | M280-319 | 25 м | 5:02:07 
Эстафета 4×100 м вольный стиль | M320-359 | 25 м | 7:08:79 
Эстафета 4×100 м вольный стиль | M360-399 | 25 м | 11:18:73 
Эстафета 4×100 м комбинированная | M100-119 | 25 м | 3:54:71 
Эстафета 4×100 м комбинированная | M120-159 | 25 м | 3:48:86 
Эстафета 4×100 м комбинированная | M160-199 | 25 м | 3:57:59 
Эстафета 4×100 м комбинированная | M200-239 | 25 м | 4:14:17 
Эстафета 4×100 м комбинированная | M240-279 | 25 м | 4:33:17 
Эстафета 4×100 м комбинированная | M280-319 | 25 м | 5:18:61 
Эстафета 4×100 м комбинированная | M320-359 | 25 м | 7:07:17 
Эстафета 4×100 м комбинированная | F100-119 | 25 м | 4:33:99 
Эстафета 4×100 м комбинированная | F120-159 | 25 м | 4:33:77 
Эстафета 4×100 м комбинированная | F160-199 | 25 м | 4:37:27 
Эстафета 4×100 м комбинированная | F200-239 | 25 м | 4:59:24 
Эстафета 4×100 м комбинированная | F240-279 | 25 м | 5:30:71 
Эстафета 4×100 м комбинированная | F280-319 | 25 м | 6:38:66 
Эстафета 4×100 м комбинированная | F320-359 | 25 м | 9:43:99 
Эстафета 4×100 м комбинированная | M100-119 | 25 м | 4:10:60 
Эстафета 4×100 м комбинированная | M120-159 | 25 м | 4:11:51 
Эстафета 4×100 м комбинированная | M160-199 | 25 м | 4:18:63 
Эстафета 4×100 м комбинированная | M200-239 | 25 м | 4:30:35 
Эстафета 4×100 м комбинированная | M240-279 | 25 м | 5:05:90 
Эстафета 4×100 м комбинированная | M280-319 | 25 м | 5:50:08 
Эстафета 4×100 м комбинированная | M320-359 | 25 м | 8:10:08 
Эстафета 4×100 м комбинированная | M360-399 | 25 м | 10:38:12
Эстафета 4×200 м вольный стиль | M100-119 | 25 м | 7:50:15 
Эстафета 4×200 м вольный стиль | M120-159 | 25 м | 7:49:75 
Эстафета 4×200 м вольный стиль | M160-199 | 25 м | 8:03:91 
Эстафета 4×200 м вольный стиль | M200-239 | 25 м | 8:29:98 
Эстафета 4×200 м вольный стиль | M240-279 | 25 м | 9:05:48 
Эстафета 4×200 м вольный стиль | M280-319 | 25 м | 10:43:32
Эстафета 4×200 м вольный стиль | M320-359 | 25 м | 14:30:24
Эстафета 4×200 м вольный стиль | M360-399 | 25 м | 21:24:39
Эстафета 4×200 м вольный стиль | F100-119 | 25 м | 9:11:61
Эстафета 4×200 м вольный стиль | F120-159 | 25 м | 9:06:22
Эстафета 4×200 м вольный стиль | F160-199 | 25 м | 9:18:34
Эстафета 4×200 м вольный стиль | F200-239 | 25 м | 9:49:27
Эстафета 4×200 м вольный стиль | F240-279 | 25 м | 10:38:20 
